1.38698e+07	0.0001
1.53482e+07	0.0003
1.69843e+07	0.0005
1.87947e+07	0.0014
2.07982e+07	0.0022
2.30152e+07	0.0028
2.54685e+07	0.0039
2.81834e+07	0.0069
3.11876e+07	0.0106
3.45121e+07	0.0137
3.8191e+07	0.0203
4.2262e+07	0.0276
4.6767e+07	0.0373
5.17522e+07	0.0476
5.72688e+07	0.0601
6.33734e+07	0.076
7.01288e+07	0.0906
7.76042e+07	0.1091
8.58765e+07	0.128
9.50307e+07	0.1471
1.05161e+08	0.1688
1.1637e+08	0.1905
1.28775e+08	0.2119
1.42502e+08	0.2343
1.57692e+08	0.2619
1.74501e+08	0.2861
1.93103e+08	0.3114
2.13687e+08	0.3364
2.36465e+08	0.3616
2.61671e+08	0.3857
2.89564e+08	0.4106
3.20431e+08	0.4359
3.54587e+08	0.4585
3.92385e+08	0.483
4.34212e+08	0.5052
4.80497e+08	0.5277
5.31717e+08	0.5468
5.88396e+08	0.5671
6.51116e+08	0.5863
7.20523e+08	0.6037
7.97328e+08	0.6228
8.8232e+08	0.6408
9.76372e+08	0.6594
1.08045e+09	0.6756
1.19562e+09	0.6914
1.32307e+09	0.7064
1.4641e+09	0.7204
1.62017e+09	0.7352
1.79288e+09	0.7485
1.98399e+09	0.7605
2.19548e+09	0.7718
2.42951e+09	0.7828
2.68848e+09	0.7933
2.97507e+09	0.8015
3.2922e+09	0.8114
3.64313e+09	0.821
4.03148e+09	0.8293
4.46122e+09	0.8375
4.93677e+09	0.8462
5.46301e+09	0.8534
6.04534e+09	0.8604
6.68976e+09	0.8683
7.40286e+09	0.8746
8.19198e+09	0.8802
9.06521e+09	0.8868
1.00315e+10	0.8931
1.11009e+10	0.8997
1.22842e+10	0.9057
1.35936e+10	0.9115
1.50426e+10	0.9173
1.66461e+10	0.9222
1.84205e+10	0.9277
2.03841e+10	0.9338
2.2557e+10	0.9394
2.49615e+10	0.9456
2.76223e+10	0.9506
3.05667e+10	0.9553
3.3825e+10	0.9608
3.74306e+10	0.9653
4.14206e+10	0.9696
4.58358e+10	0.9733
5.07218e+10	0.9774
5.61285e+10	0.9801
6.21116e+10	0.9832
6.87325e+10	0.9858
7.60591e+10	0.9886
8.41667e+10	0.9913
9.31386e+10	0.9928
1.03067e+11	0.9945
1.14053e+11	0.9964
1.26211e+11	0.9977
1.39665e+11	0.9984
1.54552e+11	0.9989
1.71027e+11	0.9995
1.89258e+11	0.9995
2.09432e+11	0.9997
2.31757e+11	0.9999
2.56461e+11	0.9999
2.83799e+11	0.9999
3.14051e+11	0.9999
